Timestamp,BR,RtoR
03/04/2023 10:15:27.428,1084,0
03/04/2023 10:15:27.484,1084,0
03/04/2023 10:15:27.540,967,0
03/04/2023 10:15:27.596,917,0
03/04/2023 10:15:27.652,883,0
03/04/2023 10:15:27.708,872,0
03/04/2023 10:15:27.764,863,0
03/04/2023 10:15:27.820,862,0
03/04/2023 10:15:27.876,1022,0
03/04/2023 10:15:27.932,1936,0
03/04/2023 10:15:27.988,2042,0
03/04/2023 10:15:28.044,2100,0
03/04/2023 10:15:28.100,2100,0
03/04/2023 10:15:28.156,2089,0
03/04/2023 10:15:28.212,2046,0
03/04/2023 10:15:28.268,2006,0
03/04/2023 10:15:28.324,1862,0
03/04/2023 10:15:28.380,1457,0
03/04/2023 10:15:28.436,1143,0
03/04/2023 10:15:28.492,842,0
03/04/2023 10:15:28.548,807,0
03/04/2023 10:15:28.604,792,0
03/04/2023 10:15:28.660,792,0
03/04/2023 10:15:28.716,793,0
03/04/2023 10:15:28.772,803,0
03/04/2023 10:15:28.828,965,0
03/04/2023 10:15:28.884,1942,0
03/04/2023 10:15:28.940,2112,0
03/04/2023 10:15:28.996,2186,0
03/04/2023 10:15:29.052,2283,0
03/04/2023 10:15:29.108,2367,0
03/04/2023 10:15:29.164,2791,0
03/04/2023 10:15:29.220,2892,0
03/04/2023 10:15:29.276,2919,0
03/04/2023 10:15:29.332,2185,0
03/04/2023 10:15:29.388,1698,0
03/04/2023 10:15:29.444,1089,0
03/04/2023 10:15:29.500,932,0
03/04/2023 10:15:29.556,850,0
03/04/2023 10:15:29.612,800,0
03/04/2023 10:15:29.668,795,0
03/04/2023 10:15:29.724,792,0
03/04/2023 10:15:29.780,923,0
03/04/2023 10:15:29.836,1565,0
03/04/2023 10:15:29.892,1979,0
03/04/2023 10:15:29.948,2033,0
03/04/2023 10:15:30.004,2160,0
03/04/2023 10:15:30.060,2201,0
03/04/2023 10:15:30.116,2208,0
03/04/2023 10:15:30.172,2191,0
03/04/2023 10:15:30.228,2182,0
03/04/2023 10:15:30.284,1645,0
03/04/2023 10:15:30.340,1287,0
03/04/2023 10:15:30.396,1058,0
03/04/2023 10:15:30.452,895,0
03/04/2023 10:15:30.508,872,0
03/04/2023 10:15:30.564,856,0
03/04/2023 10:15:30.620,854,0
03/04/2023 10:15:30.676,856,0
03/04/2023 10:15:30.732,1014,0
03/04/2023 10:15:30.788,1673,0
03/04/2023 10:15:30.844,2038,0
03/04/2023 10:15:30.900,2068,0
03/04/2023 10:15:30.956,2071,0
03/04/2023 10:15:31.012,2052,0
03/04/2023 10:15:31.068,2042,0
03/04/2023 10:15:31.124,2029,0
03/04/2023 10:15:31.180,2026,0
03/04/2023 10:15:31.236,1949,0
03/04/2023 10:15:31.292,1193,0
03/04/2023 10:15:31.348,979,0
03/04/2023 10:15:31.404,840,0
03/04/2023 10:15:31.460,828,0
03/04/2023 10:15:31.516,825,0
03/04/2023 10:15:31.572,827,0
03/04/2023 10:15:31.628,828,0
03/04/2023 10:15:31.684,979,0
03/04/2023 10:15:31.740,1613,0
03/04/2023 10:15:31.796,1873,0
03/04/2023 10:15:31.852,2017,0
03/04/2023 10:15:31.908,2033,0
03/04/2023 10:15:31.964,2038,0
03/04/2023 10:15:32.020,2036,0
03/04/2023 10:15:32.076,2032,0
03/04/2023 10:15:32.132,2027,0
03/04/2023 10:15:32.188,1954,0
03/04/2023 10:15:32.244,1197,0
03/04/2023 10:15:32.300,985,0
03/04/2023 10:15:32.356,888,0
03/04/2023 10:15:32.412,841,0
03/04/2023 10:15:32.468,838,0
03/04/2023 10:15:32.524,838,0
03/04/2023 10:15:32.580,838,0
03/04/2023 10:15:32.636,838,0
03/04/2023 10:15:32.692,1625,0
03/04/2023 10:15:32.748,1887,0
03/04/2023 10:15:32.804,2031,0
03/04/2023 10:15:32.860,2047,0
03/04/2023 10:15:32.916,2053,0
03/04/2023 10:15:32.972,2055,0
03/04/2023 10:15:33.028,2055,0
03/04/2023 10:15:33.084,2058,0
03/04/2023 10:15:33.140,1985,0
03/04/2023 10:15:33.196,1555,0
03/04/2023 10:15:33.252,996,0
03/04/2023 10:15:33.308,891,0
03/04/2023 10:15:33.364,837,0
03/04/2023 10:15:33.420,832,0
03/04/2023 10:15:33.476,830,0
03/04/2023 10:15:33.532,829,0
03/04/2023 10:15:33.588,829,0
03/04/2023 10:15:33.644,1606,0
03/04/2023 10:15:33.700,1854,0
03/04/2023 10:15:33.756,1948,0
03/04/2023 10:15:33.812,1995,0
03/04/2023 10:15:33.868,1996,0
03/04/2023 10:15:33.924,1991,0
03/04/2023 10:15:33.980,1986,0
03/04/2023 10:15:34.036,1981,0
03/04/2023 10:15:34.092,1899,0
03/04/2023 10:15:34.148,1486,0
03/04/2023 10:15:34.204,958,0
03/04/2023 10:15:34.260,865,0
03/04/2023 10:15:34.316,830,0
03/04/2023 10:15:34.372,815,0
03/04/2023 10:15:34.428,814,0
