Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:15:27.428,65,10.0,-3276.8,176,0.14,0.30,3.990,0.000,0.000000,0.000000,0.83,1.16,-0.21,0.07,-0.13,-0.03
03/04/2023 10:15:28.428,65,10.0,-3276.8,175,0.09,0.15,3.970,0.000,0.000000,0.000000,0.84,1.01,-0.16,0.13,-0.14,-0.01
03/04/2023 10:15:29.428,65,10.0,-3276.8,174,0.16,0.62,3.960,0.000,0.018380,0.001420,0.44,1.66,-0.19,0.45,-0.32,0.06
03/04/2023 10:15:30.428,65,10.0,-3276.8,173,0.06,0.13,3.950,0.000,0.018380,0.001420,0.85,0.97,-0.08,0.03,-0.24,-0.04
03/04/2023 10:15:31.428,65,10.0,-3276.8,172,0.03,0.14,3.940,65535.000,0.005300,0.000720,0.86,0.96,-0.06,0.06,-0.26,-0.08
03/04/2023 10:15:32.428,65,10.0,-3276.8,171,0.03,0.09,3.938,65210.000,0.005300,0.000580,0.85,0.95,-0.03,0.04,-0.25,-0.09
03/04/2023 10:15:33.428,65,10.0,-3276.8,170,0.02,0.06,3.938,65252.000,0.000900,0.000380,0.86,0.95,-0.07,0.01,-0.18,-0.12
03/04/2023 10:15:34.428,0,10.4,-3276.8,170,0.01,0.03,3.938,65324.000,0.000800,0.000320,0.86,0.92,-0.06,0.02,-0.19,-0.13
03/04/2023 10:15:35.428,60,10.9,-3276.8,170,0.01,0.03,3.937,64988.000,0.000800,0.000240,0.87,0.93,-0.04,0.02,-0.19,-0.14
03/04/2023 10:15:36.428,59,11.7,-3276.8,170,0.01,0.12,3.937,64894.000,0.001060,0.000180,0.86,0.93,-0.07,0.01,-0.34,-0.13
03/04/2023 10:15:37.428,65,12.5,-3276.8,170,0.02,0.07,3.932,64725.000,0.001060,0.000220,0.86,0.97,-0.08,0.06,-0.18,-0.09
03/04/2023 10:15:38.428,70,14.0,-3276.8,170,0.06,0.15,3.927,64670.000,0.001020,0.000300,0.84,1.02,-0.18,0.08,-0.27,-0.10
03/04/2023 10:15:39.428,67,16.8,-3276.8,170,0.05,0.09,3.926,64517.000,0.001020,0.000240,0.83,0.96,-0.14,0.02,-0.21,-0.13
03/04/2023 10:15:40.428,62,19.2,-3276.8,170,0.02,0.03,3.926,64739.000,0.001280,0.000260,0.87,0.93,-0.07,0.01,-0.16,-0.13
03/04/2023 10:15:41.428,60,25.5,-3276.8,170,0.03,0.09,3.926,64503.000,0.001280,0.000260,0.86,0.95,-0.14,0.01,-0.16,-0.10
03/04/2023 10:15:42.428,59,31.2,-3276.8,170,0.06,0.10,3.926,64292.000,0.001220,0.000180,0.86,0.93,-0.12,0.08,-0.15,-0.08
03/04/2023 10:15:43.428,59,37.8,-3276.8,171,0.08,0.16,3.926,64227.000,0.001220,0.000180,0.86,1.04,-0.18,0.10,-0.15,-0.06
03/04/2023 10:15:44.428,59,44.2,-3276.8,173,0.13,0.26,3.926,64503.000,0.001120,0.000940,0.80,1.07,-0.19,0.20,-0.16,0.13
03/04/2023 10:15:45.428,59,49.9,-3276.8,173,0.09,0.14,3.926,64270.000,0.001120,0.001060,0.86,1.01,-0.18,0.02,-0.16,-0.01
03/04/2023 10:15:46.428,59,55.3,-3276.8,171,0.07,0.09,3.926,64593.000,0.001100,0.000940,0.87,0.96,-0.16,0.00,-0.18,-0.07
03/04/2023 10:15:47.428,58,58.5,-3276.8,170,0.04,0.09,3.926,64833.000,0.001100,0.001160,0.86,1.02,-0.15,0.03,-0.16,-0.04
03/04/2023 10:15:48.428,58,60.4,-3276.8,172,0.05,0.08,3.926,64474.000,0.001100,0.000980,0.87,0.96,-0.06,0.02,-0.14,-0.07
03/04/2023 10:15:49.428,58,53.5,-3276.8,173,0.02,0.06,3.926,64378.000,0.001100,0.000660,0.87,0.95,-0.08,0.00,-0.14,-0.06
03/04/2023 10:15:50.428,57,49.0,-3276.8,173,0.02,0.06,3.924,64537.000,0.001060,0.000420,0.89,0.97,-0.07,0.01,-0.12,-0.06
03/04/2023 10:15:51.428,57,46.2,-3276.8,173,0.02,0.03,3.924,64649.000,0.001060,0.000240,0.89,0.95,-0.04,0.01,-0.13,-0.06
03/04/2023 10:15:52.428,58,44.3,-3276.8,174,0.02,0.04,3.923,64423.000,0.001000,0.000180,0.89,0.95,-0.06,0.01,-0.13,-0.04
03/04/2023 10:15:53.428,59,43.4,-3276.8,174,0.02,0.06,3.923,64697.000,0.001000,0.000340,0.89,0.96,-0.09,0.01,-0.10,-0.03
03/04/2023 10:15:54.428,60,42.8,-3276.8,175,0.03,0.07,3.923,64910.000,0.001000,0.000320,0.87,0.96,-0.09,0.02,-0.14,0.00
03/04/2023 10:15:55.428,64,42.5,-3276.8,174,0.08,0.20,3.923,65070.000,0.001000,0.001380,0.86,1.00,-0.01,0.16,-0.22,0.02
03/04/2023 10:15:56.428,65,42.3,-3276.8,174,0.05,0.16,3.923,65188.000,0.001020,0.001240,0.87,0.96,-0.20,0.04,-0.16,-0.02
03/04/2023 10:15:57.428,66,42.2,-3276.8,173,0.10,0.14,3.923,65277.000,0.001020,0.001080,0.86,1.00,-0.19,-0.02,-0.14,0.01
03/04/2023 10:15:58.428,66,38.8,-3276.8,173,0.04,0.14,3.923,64769.000,0.001020,0.001940,0.86,1.00,-0.19,-0.02,-0.14,0.01
03/04/2023 10:15:59.428,66,36.0,-3276.8,173,0.04,0.10,3.923,64371.000,0.001020,0.001300,0.86,1.01,-0.16,-0.02,-0.14,0.02
03/04/2023 10:16:00.428,66,33.9,-3276.8,173,0.04,0.09,3.923,64042.000,0.001120,0.000680,0.89,0.97,-0.14,0.01,-0.14,-0.06
03/04/2023 10:16:01.428,66,32.7,-3276.8,175,0.07,0.10,3.923,64423.000,0.001120,0.000600,0.89,0.97,-0.10,0.06,-0.14,-0.03
03/04/2023 10:16:02.428,66,32.0,-3276.8,175,0.04,0.10,3.923,64707.000,0.001120,0.000420,0.89,0.98,-0.07,0.09,-0.13,0.01
03/04/2023 10:16:03.428,66,36.1,-3276.8,173,0.08,0.10,3.922,64543.000,0.001120,0.000360,0.86,1.00,-0.08,0.03,-0.15,0.03
03/04/2023 10:16:04.428,66,45.3,-3276.8,173,0.09,0.15,3.921,64796.000,0.001120,0.000300,0.86,0.98,-0.21,-0.06,-0.18,-0.07
03/04/2023 10:16:05.428,66,52.2,-3276.8,174,0.05,0.16,3.921,64984.000,0.001120,0.000240,0.86,0.98,-0.10,0.12,-0.14,-0.04
03/04/2023 10:16:06.428,66,56.4,-3276.8,174,0.05,0.08,3.921,64764.000,0.001120,0.000360,0.89,0.97,-0.01,0.06,-0.12,-0.03
03/04/2023 10:16:07.428,66,59.1,-3276.8,176,0.09,0.18,3.921,64960.000,0.001120,0.000540,0.87,0.97,0.00,0.15,-0.13,0.09
03/04/2023 10:16:08.428,66,60.7,-3276.8,175,0.03,0.16,3.921,64766.000,0.001120,0.000620,0.89,0.97,0.04,0.18,-0.10,0.08
03/04/2023 10:16:09.428,66,61.5,-3276.8,174,0.07,0.07,3.921,64393.000,0.001120,0.000480,0.87,0.96,0.00,0.13,-0.14,0.00
03/04/2023 10:16:10.428,66,61.9,-3276.8,174,0.12,0.20,3.921,64088.000,0.001120,0.000740,0.85,0.96,-0.16,0.03,-0.14,-0.07
03/04/2023 10:16:11.428,66,62.1,-3276.8,177,0.14,0.20,3.921,64432.000,0.001120,0.000640,0.81,1.02,-0.19,0.16,-0.14,0.01
03/04/2023 10:16:12.428,66,62.3,-3276.8,177,0.13,0.26,3.921,64657.000,0.001120,0.001280,0.85,1.13,-0.22,0.02,-0.12,0.15
03/04/2023 10:16:13.428,66,62.3,-3276.8,175,0.15,0.27,3.921,64846.000,0.001120,0.001460,0.77,1.08,-0.24,0.16,-0.10,0.14
03/04/2023 10:16:14.428,66,62.4,-3276.8,175,0.09,0.21,3.921,64425.000,0.001120,0.001160,0.84,1.03,-0.22,-0.06,-0.12,0.08
03/04/2023 10:16:15.428,66,62.4,-3276.8,174,0.11,0.21,3.921,64261.000,0.001120,0.000780,0.83,1.14,-0.16,0.04,-0.13,0.14
03/04/2023 10:16:16.428,66,62.7,-3276.8,177,0.14,0.34,3.920,64586.000,0.001120,0.001260,0.80,1.28,-0.16,0.15,-0.14,0.15
03/04/2023 10:16:17.428,66,62.7,-3276.8,177,0.12,0.27,3.920,64614.000,0.001120,0.001620,0.78,1.18,-0.14,0.03,-0.15,0.12
03/04/2023 10:16:18.428,65,62.6,-3276.8,177,0.12,0.19,3.920,64588.000,0.001120,0.001160,0.81,1.09,-0.12,0.18,-0.14,0.08
03/04/2023 10:16:19.428,65,62.6,-3276.8,178,0.12,0.19,3.920,64272.000,0.001120,0.000860,0.83,1.14,-0.16,0.12,-0.14,0.13
03/04/2023 10:16:20.428,65,62.6,-3276.8,-175,0.24,0.31,3.920,64309.000,0.001120,0.001320,0.80,1.03,-0.21,0.20,-0.01,0.24
03/04/2023 10:16:21.428,65,62.0,-3276.8,-165,0.26,0.33,3.920,63503.000,0.001120,0.000720,0.77,0.87,0.19,0.26,0.21,0.42
03/04/2023 10:16:22.428,65,61.5,-3276.8,-159,0.10,0.26,3.920,63408.000,0.000820,0.000480,0.78,0.86,0.21,0.26,0.25,0.42
03/04/2023 10:16:23.428,65,61.1,-3276.8,-158,0.05,0.08,3.920,63350.000,0.000820,0.000320,0.79,0.87,0.20,0.27,0.25,0.34
03/04/2023 10:16:24.428,64,61.1,-3276.8,-157,0.03,0.08,3.920,63586.000,0.000820,0.000260,0.79,0.86,0.21,0.28,0.24,0.33
03/04/2023 10:16:25.428,64,61.5,-3276.8,-158,0.02,0.04,3.920,63773.000,0.000820,0.000220,0.81,0.87,0.21,0.27,0.24,0.32
03/04/2023 10:16:26.428,64,62.0,-3276.8,-158,0.02,0.06,3.920,63922.000,0.000820,0.000160,0.80,0.87,0.22,0.30,0.24,0.31
03/04/2023 10:16:27.428,65,62.4,-3276.8,-156,0.02,0.06,3.920,63760.000,0.000820,0.000160,0.79,0.87,0.22,0.30,0.24,0.34
03/04/2023 10:16:28.428,66,60.9,-3276.8,-156,0.02,0.04,3.920,63933.000,0.000960,0.000120,0.80,0.87,0.22,0.30,0.24,0.33
03/04/2023 10:16:29.428,71,57.9,-3276.8,-156,0.02,0.04,3.919,64342.000,0.000960,0.000140,0.79,0.87,0.22,0.30,0.25,0.33
03/04/2023 10:16:30.428,76,56.2,-3276.8,-155,0.02,0.06,3.918,64207.000,0.000940,0.000260,0.78,0.86,0.24,0.30,0.25,0.37
03/04/2023 10:16:31.428,77,50.7,-3276.8,-155,0.02,0.04,3.918,64546.000,0.000940,0.000180,0.79,0.87,0.24,0.30,0.25,0.34
03/04/2023 10:16:32.428,76,47.1,-3276.8,-155,0.02,0.06,3.918,64798.000,0.000900,0.000160,0.78,0.86,0.24,0.31,0.26,0.37
03/04/2023 10:16:33.428,76,45.0,-3276.8,-155,0.02,0.04,3.918,64986.000,0.000900,0.000560,0.78,0.85,0.24,0.31,0.25,0.34
03/04/2023 10:16:34.428,75,41.7,-3276.8,-160,0.14,0.18,3.918,64595.000,0.000520,0.000500,0.81,0.96,0.10,0.31,0.14,0.32
